Rank 2016,District,Province,infrastructure score,Electricity,Drinking water,Toilet,Boundary wall,Building condition satisfactory
1,Vehari,Punjab,94.85,93.28,99.33,97.89,98.08,85.65
2,Faisalabad,Punjab,94.59,95.82,99.63,98.51,94.11,84.86
3,Gujrat,Punjab,94.46,94.01,98.88,97.06,97.26,85.1
4,Chakwal,Punjab,94.23,87.48,97.07,97.6,96.01,93.01
5,Lahore,Punjab,94.21,98.05,99.1,96.55,98.65,78.71
6,Chiniot,Punjab,93.92,93.63,99.81,96.82,95.88,83.46
7,Jhelum,Punjab,93.89,92.69,97.26,97.81,97.07,84.62
8,Khanewal,Punjab,93.85,90.79,98.64,97.7,98.37,83.74
9,Kasur,Punjab,93.36,91.91,98.99,96.51,94.58,84.83
10,Toba Tek Singh,Punjab,93.25,94.17,99.72,98.19,88.33,85.83
11,Pakpattan,Punjab,93.09,91.29,97.3,98.35,95.95,82.58
12,Sahiwal,Punjab,92.74,98.18,99.72,97.91,87.29,80.59
13,Mandi Bahuddin,Punjab,92.72,92.23,99.47,96.11,93.64,82.14
14,Multan,Punjab,92.58,88.58,99.11,95.37,96.85,82.99
15,Sialkot,Punjab,92.38,88.91,97.7,95.81,96.08,83.39
16,Okara,Punjab,92.07,86.27,98.27,97.18,91.45,87.18
17,Attock,Punjab,92.02,86.74,95.31,96.13,95.19,86.74
18,Muzaffargarh,Punjab,91.96,87.09,98.9,95.93,95.7,82.18
19,Lodhran,Punjab,91.77,85.71,97.42,96.73,99.31,79.69
20,Gujranwala,Punjab,91.22,85.89,98.62,95.61,94.32,81.66
21,Sargodha,Punjab,91.07,87.5,98.73,96.11,89.75,83.27
22,Bahawalpur,Punjab,90.67,82.7,98.24,96.87,90.73,84.82
23,Mardan,KP,90.22,81.22,93.55,91.87,99.86,84.58
24,Hafizabad,Punjab,90.18,75.37,97.98,93.2,96.51,87.87
25,Layyah,Punjab,89.71,73.88,99.61,97.02,96,82.04
26,Nankana Sahib,Punjab,89.61,84.54,98.63,95.69,93.74,75.44
27,Sheikhupura,Punjab,88.83,79.98,97.84,94.17,92.58,79.58
28,Narowal,Punjab,88.35,72.85,97.82,94.92,91.19,84.94
29,Bhakkar,Punjab,88.16,74.01,99.32,97.58,87.25,82.66
30,Kohat,KP,87.8,73.04,74.25,95.78,99.4,96.54
31,Bahawalnagar,Punjab,87.47,77.3,96.9,93.9,86.5,82.74
32,Jhang,Punjab,87.46,79.37,99.38,95,83.22,80.32
33,Swabi,KP,87.44,85.81,83.8,94.73,92.33,80.54
34,Charsadda,KP,87.43,70.33,85.71,94.41,96.8,89.91
35,Rawalpindi,Punjab,86.96,80.88,92.03,95.06,85.82,81.03
36,Mianwali,Punjab,86.71,76.94,95.05,94.7,90.64,76.24
37,Islamabad,ICT,86.6,98.43,92.67,95.29,96.86,49.74
38,Malakand,KP,84.51,86.32,73.53,86.68,86.15,89.88
39,Rahim Yar Khan,Punjab,83.58,63.85,95.72,90.56,90.19,77.6
40,Rajanpur,Punjab,83.32,58.39,96.58,91.06,89.35,81.21
41,Peshawar,KP,83.02,59.43,80.19,92.45,96.42,86.6
42,Nowshera,KP,82.52,73.6,72.82,92.85,93.5,79.84
43,Khushab,Punjab,82.07,68.73,90.56,93.1,85.21,72.77
44,Buner,KP,76.34,61.91,71.31,85.25,86.39,76.82
45,Bannu,KP,76.27,72.29,68.26,78.76,87.24,74.8
46,Lower Dir,KP,73.58,68.78,50.6,82.92,77.92,87.69
47,Lakki Marwat,KP,73.45,70.04,61.09,79.42,80.7,76.01
48,Hangu,KP,73.41,47.56,59.15,86.59,86.28,87.5
49,Tank,KP,73.41,65.9,52.72,90.54,93.12,64.76
50,Dera Ismail Khan,KP,72.61,49.96,67.99,82.38,79.47,83.27
51,Swat,KP,70.67,56.69,61.23,76.74,67.01,91.66
52,Larkana,Sindh,69.98,50.1,78.97,76.65,89.44,54.75
53,Dera Ghazi Khan,Punjab,68.84,41.84,84.51,74.26,72.4,71.19
54,Haripur,KP,68.83,58.72,61.2,78.02,73.37,72.86
55,Chitral,KP,65.88,33.84,69.97,67.38,62.2,96.04
56,Karak,KP,64.94,42.99,49.16,69.24,80.69,82.63
57,Karachi,Sindh,64.84,67.61,58.38,70.58,87.01,40.65
58,Hyderabad,Sindh,64.72,68.86,57.89,78.46,80.11,38.27
59,Hunza Nagar,GB,62.55,60.98,73.17,75.61,85.37,17.65
60,Ghizer,GB,62.37,72.88,76.27,86.44,61.02,15.25
61,Matiari,Sindh,62.1,63.24,61.73,74.33,79.11,32.08
62,Abbottabad,KP,61,29.8,54.25,66.78,61.04,93.14
63,Mansehra,KP,60.26,34.63,51.38,60.4,57.27,97.59
64,Upper Dir,KP,59.85,25.28,38.79,80.55,70.38,84.26
65,Shaheed Benazirabad,Sindh,58.68,62.23,69.13,57.45,66.06,38.52
66,Gilgit,GB,58.44,63.64,57.14,80.52,76.62,14.29
67,FR Peshawar,FATA,57.66,59.33,66,57.33,82,23.65
68,Naushehro Feroze,Sindh,56.94,54.39,84.31,56.71,56.52,32.76
69,Sukkur,Sindh,56.22,54.18,72.09,63.36,66.09,25.36
70,Tando Allah Yar,Sindh,55.39,56.2,50.54,62.53,77.36,30.32
71,Shangla,KP,54.69,22.39,37.65,67.99,58.87,86.57
72,Khairpur,Sindh,54.37,54.6,77.23,63.73,55.46,20.82
73,Batagram,KP,52.55,13.46,40.11,63.46,47.94,97.8
74,FR Tank,FATA,49.54,43.39,36.51,48.15,76.72,42.94
75,FR Bannu,FATA,49.13,53.85,45.3,32.19,74.64,39.69
76,Jamshoro,Sindh,48.86,46.98,32.96,59.19,81.91,23.28
77,Shikarpur,Sindh,48.3,38.36,60.7,56.27,71.27,14.92
78,Dadu,Sindh,47.56,45.42,42.17,52.03,65.46,32.71
79,Diamir,GB,44.64,50,70.87,12.14,44.66,45.54
80,Ghotki,Sindh,44.63,19.08,73.48,49.81,54.95,25.81
81,Tando Muhammad Khan,Sindh,43.01,20.21,53.37,50.95,59.47,31.05
82,Khyber Agency,FATA,42.26,44.72,42.39,33.85,57.3,33.02
83,Sanghar,Sindh,41.03,23.62,48.6,46.26,56.6,30.09
84,FR Kohat,FATA,40.95,42.18,38.78,32.65,72.79,18.37
85,Nushki,Balochistan,40.34,63.25,48.19,45.18,38.55,6.54
86,Quetta,Balochistan,39.71,27.18,56.67,34.87,47.69,32.15
87,Kambar-Shahdadkot,Sindh,39.37,35.88,31.73,44.59,60.09,24.54
88,Harnai,Balochistan,38.61,25.34,28.77,39.73,58.22,41.01
89,FR DI Khan,FATA,38.35,37.88,20.45,31.06,59.85,42.52
90,Tor Ghar,KP,38.25,2.43,21.84,38.35,43.2,85.44
91,Bajaur Agency,FATA,37.33,33.66,28.99,32.68,59.73,31.58
92,FR Lakki Marwat,FATA,37.2,21.88,28.13,31.25,66.67,38.1
93,Badin,Sindh,36.9,22.51,32.78,53.65,44.92,30.65
94,Kohistan,KP,36.9,3.59,50.16,27.98,28.51,74.23
95,Skardu,GB,36.33,35.34,39.58,25.44,61.13,20.14
96,Mirpur,AJK,36.29,41.32,34.93,28.31,40.64,36.25
97,Mastung,Balochistan,36.27,11.55,38.61,31.68,67,32.53
98,Umerkot,Sindh,35.73,20,23.22,54.62,52.02,28.8
99,Kurram Agency,FATA,35.51,46.11,33.27,28.6,58.17,11.42
100,Muzaffarabad,AJK,34.29,11.7,27.93,49.45,40.09,42.28
101,Mirpurkhas,Sindh,34.28,22.9,30.4,47.77,43.82,26.49
102,Chaghi,Balochistan,34.15,4.69,34.27,34.27,49.3,48.24
103,Jacobabad,Sindh,33.77,35.74,35.44,43.27,44.09,10.31
104,Gwadar,Balochistan,33,28.11,58.53,22.58,47.93,7.85
105,Killa Abdullah,Balochistan,32.96,23.29,57.99,15.07,46.58,21.88
106,Mohmand Agency,FATA,31.87,31.11,27.88,27.47,51.31,21.56
107,Sherani,Balochistan,30.78,20.73,39.63,32.93,40.24,20.38
108,Ghanchi,GB,29.85,28.36,34.33,31.34,47.76,7.46
109,South Waziristan Agency,FATA,29.59,34.44,26.35,33.81,44.6,8.76
110,Kalat,Balochistan,28.35,22.31,36.09,23.81,48.87,10.69
111,Bagh,AJK,28.32,7.78,28.53,41.79,26.51,36.99
112,Loralai,Balochistan,28.09,37.54,40.34,13.24,29.13,20.2
113,Astor,GB,26.25,17.19,28.13,37.5,31.25,17.19
114,Tharparkar,Sindh,26.07,3.58,14.9,33.02,37.4,41.46
115,Pishin,Balochistan,26.07,20.07,43.53,19.35,32.77,14.63
116,Kharan,Balochistan,25.81,58.47,34.97,7.65,21.86,6.11
117,Hattian,AJK,25.62,3.58,16.49,37.99,32.97,37.05
118,Lasbela,Balochistan,25.43,16.22,32.43,28.96,34.17,15.37
119,Kashmore-Kandhkot,Sindh,25.14,10.12,48.46,24.48,34.24,8.4
120,Jaffarabad,Balochistan,24.66,35.01,27.57,1.61,24.14,34.95
121,Bhimber,AJK,24.64,19.08,31.4,16.67,22.46,33.57
122,Kohlu,Balochistan,24.62,39.85,25.5,1.24,19.8,36.72
123,Orakzai Agency,FATA,23.62,23.95,22.79,12.79,37.44,21.13
124,Neelum,AJK,21.04,3.23,27.65,27.19,12.9,34.25
125,Khuzdar,Balochistan,20.71,13,30.59,19.49,28.21,12.25
126,Barkhan,Balochistan,19.99,8.88,17.05,0.89,33.57,39.53
127,Sujawal,Sindh,19.91,7.12,12.78,24.12,27.71,27.83
128,Zhob,Balochistan,19.83,18.24,27.7,7.77,28.04,17.41
129,Thatta,Sindh,19.77,1.83,5.91,35.16,45.92,10.06
130,Ziarat,Balochistan,19.31,3.2,17.35,15.53,37.9,22.58
131,Nasirabad,Balochistan,18.77,37.61,13.72,9.51,18.36,14.67
132,Washuk,Balochistan,18.69,23.23,31.61,1.94,16.13,20.53
133,Sibi,Balochistan,18.45,29.61,29.13,23.79,6.8,2.94
134,Musakhail,Balochistan,18.43,9.85,31.82,7.2,35.61,7.66
135,Sohbatpur,Balochistan,16.55,19.61,26.61,14.29,16.25,5.99
136,Kech,Balochistan,16.13,16.34,38.58,14.17,6.5,5.07
137,Killa Saifullah,Balochistan,15.93,17.56,26.43,7.76,18.11,9.77
138,Poonch,AJK,14.88,2.67,12.1,27.58,6.23,25.8
139,Jhal Magsi,Balochistan,14.74,30.77,22.27,6.48,10.93,3.27
140,Haveli,AJK,14.4,2.09,19.9,17.28,6.28,26.46
141,Kotli,AJK,14.14,7.65,14.51,15.17,10.03,23.32
142,Panjgur,Balochistan,13.12,6.27,10.66,6.58,34.8,7.28
143,Awaran,Balochistan,10.8,0.46,21.66,2.76,24.88,4.23
144,Kachhi,Balochistan,7.67,6.14,19.44,5.37,1.79,5.61
145,Sudhnutti,AJK,6.76,0.85,4.23,7.89,3.94,16.9
146,Dera Bugti,Balochistan,5.49,3.74,15.65,0.68,1.02,6.36
